Algo,ResultId,Time(sec),ApproxRatio,TourCost,AWDfromVTX1,MinAWD,DelEdgeP
two_opt,1,0.003,1.084,23083.428,12324.731,10252.463,99
two_opt,2,0.002,1.181,25147.088,12758.316,10991.488,98
two_opt,3,0.001,1.221,25983.638,12383.68,11727.812,94
two_opt,4,0.002,1.294,27545.258,14065.632,11880.398,96
two_opt,5,0.002,1.153,24546.602,12863.71,11147.72,96
two_opt,6,0.002,1.163,24762.017,12279.732,10721.567,99
two_opt,7,0.002,1.134,24148.264,11910.464,11453.796,96
two_opt,8,0.002,1.167,24846.754,11817.071,11102.596,98
two_opt,9,0.002,1.173,24962.848,12572.097,11384.338,99
two_opt,10,0.002,1.152,24529.384,11863.652,11143.191,95
two_opt,11,0.002,1.104,23508.959,11607.896,10684.673,98
two_opt,12,0.001,1.045,22236.174,10802.65,10232.364,96
two_opt,13,0.002,1.065,22677.686,11643.255,10339.334,99
two_opt,14,0.002,1.157,24630.116,12183.591,11068.562,94
two_opt,15,0.002,1.215,25871.957,12832.64,11549.618,96
two_opt,16,0.002,1.061,22575.68,11054.738,10239.216,98
two_opt,17,0.002,1.093,23268.529,11538.381,10947.914,98
two_opt,18,0.002,1.211,25782.179,12897.425,11265.256,95
two_opt,19,0.002,1.1,23422.67,11880.008,10754.741,98
two_opt,20,0.002,1.151,24509.417,12870.913,11041.654,95
two_opt,AVG,0.002,1.146,24401.932,12207.529,10996.435,96.85
two_opt,STD,0,0.062,1329.603,745.912,486.295,1.725
